surah_number,surah_name_arabic,surah_name_english,ayah_number,global_ayah_number,text_arabic,juz,manzil,page,ruku,hizb_quarter,sajda
1,"سُورَةُ ٱلْفَاتِحَةِ","Al-Faatiha",1,1,"بِسۡمِ ٱللَّهِ ٱلرَّحۡمَـٰنِ ٱلرَّحِیمِ
",1,1,1,1,1,false
1,"سُورَةُ ٱلْفَاتِحَةِ","Al-Faatiha",2,2,"ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَـٰلَمِینَ
",1,1,1,1,1,false
1,"سُورَةُ ٱلْفَاتِحَةِ","Al-Faatiha",3,3,"ٱلرَّحۡمَـٰنِ ٱلرَّحِیمِ
",1,1,1,1,1,false
1,"سُورَةُ ٱلْفَاتِحَةِ","Al-Faatiha",4,4,"مَـٰلِكِ یَوۡمِ ٱلدِّینِ
",1,1,1,1,1,false
1,"سُورَةُ ٱلْفَاتِحَةِ","Al-Faatiha",5,5,"إِیَّاكَ نَعۡبُدُ وَإِیَّاكَ نَسۡتَعِینُ
",1,1,1,1,1,false
1,"سُورَةُ ٱلْفَاتِحَةِ","Al-Faatiha",6,6,"ٱهۡدِنَا ٱلصِّرَ ٰ⁠طَ ٱلۡمُسۡتَقِیمَ
",1,1,1,1,1,false
1,"سُورَةُ ٱلْفَاتِحَةِ","Al-Faatiha",7,7,"صِرَ ٰ⁠طَ ٱلَّذِینَ أَنۡعَمۡتَ عَلَیۡهِمۡ غَیۡرِ ٱلۡمَغۡضُوبِ عَلَیۡهِمۡ وَلَا ٱلضَّاۤلِّینَ
",1,1,1,1,1,false
2,"سُورَةُ البَقَرَةِ","Al-Baqara",1,8,"بِسۡمِ ٱللَّهِ ٱلرَّحۡمَـٰنِ ٱلرَّحِیمِ الۤمۤ
",1,1,2,2,1,false
2,"سُورَةُ البَقَرَةِ","Al-Baqara",2,9,"ذَ ٰ⁠لِكَ ٱلۡكِتَـٰبُ لَا رَیۡبَۛ فِیهِۛ هُدࣰى لِّلۡمُتَّقِینَ
",1,1,2,2,1,false
2,"سُورَةُ البَقَرَةِ","Al-Baqara",3,10,"ٱلَّذِینَ یُؤۡمِنُونَ بِٱلۡغَیۡبِ وَیُقِیمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقۡنَـٰهُمۡ یُنفِقُونَ
",1,1,2,2,1,false
2,"سُورَةُ البَقَرَةِ","Al-Baqara",4,11,"وَٱلَّذِینَ یُؤۡمِنُونَ بِمَاۤ أُنزِلَ إِلَیۡكَ وَمَاۤ أُنزِلَ مِن قَبۡلِكَ وَبِٱلۡـَٔاخِرَةِ هُمۡ یُوقِنُونَ
",1,1,2,2,1,false
2,"سُورَةُ البَقَرَةِ","Al-Baqara",5,12,"أُو۟لَـٰۤىِٕكَ عَلَىٰ هُدࣰى مِّن رَّبِّهِمۡۖ وَأُو۟لَـٰۤىِٕكَ هُمُ ٱلۡمُفۡلِحُونَ
",1,1,2,2,1,false
2,"سُورَةُ البَقَرَةِ","Al-Baqara",6,13,"إِنَّ ٱلَّذِینَ كَفَرُوا۟ سَوَاۤءٌ عَلَیۡهِمۡ ءَأَنذَرۡتَهُمۡ أَمۡ لَمۡ تُنذِرۡهُمۡ لَا یُؤۡمِنُونَ
",1,1,3,2,1,false
2,"سُورَةُ البَقَرَةِ","Al-Baqara",7,14,"خَتَمَ ٱللَّهُ عَلَىٰ قُلُوبِهِمۡ وَعَلَىٰ سَمۡعِهِمۡۖ وَعَلَىٰۤ أَبۡصَـٰرِهِمۡ غِشَـٰوَةࣱۖ وَلَهُمۡ عَذَابٌ عَظِیمࣱ
",1,1,3,2,1,false
2,"سُورَةُ البَقَرَةِ","Al-Baqara",8,15,"وَمِنَ ٱلنَّاسِ مَن یَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلۡیَوۡمِ ٱلۡـَٔاخِرِ وَمَا هُم بِمُؤۡمِنِینَ
",1,1,3,3,1,false
2,"سُورَةُ البَقَرَةِ","Al-Baqara",9,16,"یُخَـٰدِعُونَ ٱللَّهَ وَٱلَّذِینَ ءَامَنُوا۟ وَمَا یَخۡدَعُونَ إِلَّاۤ أَنفُسَهُمۡ وَمَا یَشۡعُرُونَ
",1,1,3,3,1,false
2,"سُورَةُ البَقَرَةِ","Al-Baqara",10,17,"فِی قُلُوبِهِم مَّرَضࣱ فَزَادَهُمُ ٱللَّهُ مَرَضࣰاۖ وَلَهُمۡ عَذَابٌ أَلِیمُۢ بِمَا كَانُوا۟ یَكۡذِبُونَ
",1,1,3,3,1,false
2,"سُورَةُ البَقَرَةِ","Al-Baqara",11,18,"وَإِذَا قِیلَ لَهُمۡ لَا تُفۡسِدُوا۟ فِی ٱلۡأَرۡضِ قَالُوۤا۟ إِنَّمَا نَحۡنُ مُصۡلِحُونَ
",1,1,3,3,1,false
2,"سُورَةُ البَقَرَةِ","Al-Baqara",12,19,"أَلَاۤ إِنَّهُمۡ هُمُ ٱلۡمُفۡسِدُونَ وَلَـٰكِن لَّا یَشۡعُرُونَ
",1,1,3,3,1,false
2,"سُورَةُ البَقَرَةِ","Al-Baqara",13,20,"وَإِذَا قِیلَ لَهُمۡ ءَامِنُوا۟ كَمَاۤ ءَامَنَ ٱلنَّاسُ قَالُوۤا۟ أَنُؤۡمِنُ كَمَاۤ ءَامَنَ ٱلسُّفَهَاۤءُۗ أَلَاۤ إِنَّهُمۡ هُمُ ٱلسُّفَهَاۤءُ وَلَـٰكِن لَّا یَعۡلَمُونَ
",1,1,3,3,1,false
2,"سُورَةُ البَقَرَةِ","Al-Baqara",14,21,"وَإِذَا لَقُوا۟ ٱلَّذِینَ ءَامَنُوا۟ قَالُوۤا۟ ءَامَنَّا وَإِذَا خَلَوۡا۟ إِلَىٰ شَیَـٰطِینِهِمۡ قَالُوۤا۟ إِنَّا مَعَكُمۡ إِنَّمَا نَحۡنُ مُسۡتَهۡزِءُونَ
",1,1,3,3,1,false
2,"سُورَةُ البَقَرَةِ","Al-Baqara",15,22,"ٱللَّهُ یَسۡتَهۡزِئُ بِهِمۡ وَیَمُدُّهُمۡ فِی طُغۡیَـٰنِهِمۡ یَعۡمَهُونَ
",1,1,3,3,1,false
2,"سُورَةُ البَقَرَةِ","Al-Baqara",16,23,"أُو۟لَـٰۤىِٕكَ ٱلَّذِینَ ٱشۡتَرَوُا۟ ٱلضَّلَـٰلَةَ بِٱلۡهُدَىٰ فَمَا رَبِحَت تِّجَـٰرَتُهُمۡ وَمَا كَانُوا۟ مُهۡتَدِینَ
",1,1,3,3,1,false
2,"سُورَةُ البَقَرَةِ","Al-Baqara",17,24,"مَثَلُهُمۡ كَمَثَلِ ٱلَّذِی ٱسۡتَوۡقَدَ نَارࣰا فَلَمَّاۤ أَضَاۤءَتۡ مَا حَوۡلَهُۥ ذَهَبَ ٱللَّهُ بِنُورِهِمۡ وَتَرَكَهُمۡ فِی ظُلُمَـٰتࣲ لَّا یُبۡصِرُونَ
",1,1,4,3,1,false
2,"سُورَةُ البَقَرَةِ","Al-Baqara",18,25,"صُمُّۢ بُكۡمٌ عُمۡیࣱ فَهُمۡ لَا یَرۡجِعُونَ
",1,1,4,3,1,false
2,"سُورَةُ البَقَرَةِ","Al-Baqara",19,26,"أَوۡ كَصَیِّبࣲ مِّنَ ٱلسَّمَاۤءِ فِیهِ ظُلُمَـٰتࣱ وَرَعۡدࣱ وَبَرۡقࣱ یَجۡعَلُونَ أَصَـٰبِعَهُمۡ فِیۤ ءَاذَانِهِم مِّنَ ٱلصَّوَ ٰ⁠عِقِ حَذَرَ ٱلۡمَوۡتِۚ وَٱللَّهُ مُحِیطُۢ بِٱلۡكَـٰفِرِینَ
",1,1,4,3,1,false
2,"سُورَةُ البَقَرَةِ","Al-Baqara",20,27,"یَكَادُ ٱلۡبَرۡقُ یَخۡطَفُ أَبۡصَـٰرَهُمۡۖ كُلَّمَاۤ أَضَاۤءَ لَهُم مَّشَوۡا۟ فِیهِ وَإِذَاۤ أَظۡلَمَ عَلَیۡهِمۡ قَامُوا۟ۚ وَلَوۡ شَاۤءَ ٱللَّهُ لَذَهَبَ بِسَمۡعِهِمۡ وَأَبۡصَـٰرِهِمۡۚ إِنَّ ٱللَّهَ عَلَىٰ كُلِّ شَیۡءࣲ قَدِیرࣱ
",1,1,4,3,1,false
2,"سُورَةُ البَقَرَةِ","Al-Baqara",21,28,"یَـٰۤأَیُّهَا ٱلنَّاسُ ٱعۡبُدُوا۟ رَبَّكُمُ ٱلَّذِی خَلَقَكُمۡ وَٱلَّذِینَ مِن قَبۡلِكُمۡ لَعَلَّكُمۡ تَتَّقُونَ
",1,1,4,4,1,false
